title,abstract,field,reference_topic_label
Development of functional fish feed based on bioactive compounds of marine and herbal origin.,"FEEDACTIV focuses on the development of innovative aquaculture feed based on natural bioactive compounds that boost the immune system of farmed fish. Various species of marine microalgae as well as seaweed and land based herbal plants are going to be used as enrichment of the fish feed and hopefully as partial fishmeal substitution with low cost ingredients. The use of natural compounds, polyunsaturated fatty acids (ω-3, ω-6 and ω-7), phenols, carotenoids and protein from marine and land based flora, aims to improve the breeding and quality of farmed species while drastically reducing the annual cost of the aquaculture companies by focusing on the processes that boost the immune system of...",marine biology,Sustainable Food Systems and Nutritional Innovations
I(eye)-SCREEN: A real-world AI-based infrastructure for screening and prediction of progression in age-related macular degeneration (AMD) providing accessible shared care,"The aim of I(eye)-Screen is to develop an artificial intelligence (AI)-based diagnostic decision support system for screening and monitoring of age-related macular degeneration (AMD) at an early stage before vision loss occurs.  Late AMD is the leading cause of legal blindness >50 years with 110 mio individuals at risk. The multidisciplinary consortium brings together a network of clinical retina experts, computer scientists working at the cutting edge of AI development, an infrastructure of community-based opticians/optometrists and an SME experienced in digital platform performance to develop innovative and trustworthy AI tools for broad, real-time AMD screening and monitoring via a...",ophthalmology,Retinal and Ocular Disease Mechanisms and Therapies
"NEurological MEchanismS of Injury, and Sleep-like  cellular dynamics","Focal brain disorders, including stroke, trauma, and epilepsy, are the main causes of disability and loss of productivity in the world, and carry a cumulative cost in Europe of about 500 billion euro/year. Now, physicians diagnose and treat these conditions as if they were caused by local dysfunction due to the pathological process. However, there is growing evidence that, in most neurological and psychiatric disorders, clinical symptoms reflect widespread network abnormalities. Normalization of such network abnormalities through “circuit-based” stimulation would therefore improve function.",epilepsy,Neuromodulation and Neurotechnology Therapies
Study on the Biomechanical Mechanism of Patient-Orthosis Interaction Based on Subject-Specific Patient-Orthosis Coupling Musculoskeletal Model,"Knee osteoarthritis (KOA) is a prevalent, chronic, degenerative, and multifactorial disease associated with pain, stiffness, and physical disability,  and it is a significant public health problem in the world. Abnormal load distribution between knee medial and lateral compartments has been designated as the main biomechanical factor for the initiation and progression of KOA. Accurate quantification of internal knee contact force during daily living activities is significant for understanding the biomechanical mechanism of patient-orthosis interaction and improving the treatment with knee orthotics.",public health,Bone Bioprinting and Regenerative Implant Technologies
Unraveling the Supramolecular Architecture of Molecular Machineries in Adaptive Immunity,"To combat daily threats of pathogens and abnormal cells, the human organism features a sophisticated defense mechanism called the adaptive immune system. In broad terms, this intricate mechanism is triggered by specific peptide epitopes presented on molecules of the major histocompatibility complex class I (MHC I), which are scanned by cytotoxic T cells. Intracellular transport, loading, and cell-surface recognition of antigenic peptides on MHC I are orchestrated by machineries, the peptide-loading complex (PLC) and the T cell receptor (TCR) complex.",biomolecules,Cancer Immunotherapy and Tumor Biology
Operationalising the International Research Cooperation on Soil Carbon,"To reach the targets of the Paris Agreement commitments for land degradation neutrality, for biodiversity, and to support the EU Green Deal, Europe needs to join its research and innovation forces on soil carbon with those around the globe in a coordinated manner. To scale up efforts for conserving and increasing soil carbon stocks and harness the co-benefits for climate change mitigation and adaptation, soil health and food security international coordination of research efforts is essential.",edaphology,Sustainable Food Systems and Nutritional Innovations
Integrated AI-Driven Systems For Kidney Transplant Precision Medicine (AI-Care),"Despite considerable improvements in short-term allograft and patient survival in kidney transplantation in the past two decades, long-term graft survival remains low, with 20% of transplants failing within five years. Rejection remains a leading cause of graft loss, with immediate consequences for patient morbidity and mortality, posing a major burden on healthcare systems. Increased allograft longevity requires improved patient monitoring and rejection risk stratification using mechanistically informed, non-invasive biomarker strategies and precision diagnostics. The main limitation for such an endeavor is the lack of deeply phenotyped cohorts.",mortality,Chronic Kidney Disease and Organoids
Epigenetic regulation of host factors in viral infections (EPIVINF),"The EPIVINF project aims to gain a deep understanding of how acute viral infections alter the epigenetic regulation of host factors that are critical for immune control and neurological health.  In particular, EPIVINF will address how acute viral infections impact epigenetic control of host proteins that drive virus-associated disease and/or are involved in the antiviral immune response and how such persistent, epigenetic marks are related to long-term disease evolution.",immunology,"Innovative Vaccines, Antivirals, and Diagnostics Tools"
Auto-adaptive Neuromorphic Brain Machine Interface: toward fully embedded neuroprosthetics,"Nearly 746,000 people sustain a spinal cord injury every year, with dramatic human, societal and economical cost, leading to impairment or even complete loss of motor functions. Motor Brain-Machine Interfaces (BMIs) translate brain neural signals into commands to external effectors. BMIs raise hopes that limb mobility may be restored, providing patients with control over orthoses, prostheses, or over their own limbs using electrical stimulation. In spite of spectacular results, taking neuroprosthetics into daily practice has proven difficult.",implants,Neuromodulation and Neurotechnology Therapies
Edible Soft Matter,"Food and environmental transitions are worldwide major challenges as illustrated by the Farm to Fork Strategy, at the heart of the EU Green Deal, and by the United Nations Development Goals. Sustainable and healthy food requires an urgent shift from a diet rich in animal-based ingredients towards a diet enriched in plant-based ingredients. This is the challenge behind the Edible Soft Matter (ESM) project. Soft matter science has been tremendously successful in tackling complex problems involving multicomponent materials with a wide range of length and time scales and is now recognised as providing unique perspectives to understand the complexity of foods and to design new foods.",soft matter physics,Sustainable Food Systems and Nutritional Innovations
Injectable nanoelectrodes for wireless and minimally invasive neural stimulation,"Neural devices used in the brain and spinal cord have yielded medical breakthroughs to improve the lives of people with spinal cord injury, Parkinson’s disease, and hearing loss. However, current neural devices are large, complex, and invasive, and are therefore used by only a fraction of people who could benefit from them. Instead, I want to make neural devices that are nanoscale, injectable, and wireless. By lowering invasiveness and implantation risk, this technology could address the unmet medical needs of more people with neurological impairments.",nano-materials,Neuromodulation and Neurotechnology Therapies
A 21st century approach to study chytrid fungal infections in an amphibian hybrid zone,"World-wide declines in amphibian populations have led to many local and global extinctions, and are connected to the global spread chytrid fungus (Bd). Because few animals survive infection, Bd poses a strong selection pressure in infected populations. Hybrid zones, where two species meet and reproduce, are an ideal setting for research on adaptation, as different combinations of gene variants are  tested. However, two contrasting hypotheses exist on the role of hybridisation in infection resistance. Genetic incompatibilities between diverging populations limit gene flow between closely related species, and cause lower fitness in hybrids.",infectious diseases,Molecular and Ecological Plant Adaptation
A road to remember: Neural plasticity through the lens of gut-brain interactions,"The fact that the brain is influenced by the microorganisms that make up the gut microbiome substantially widens the scope of how we need to view human neurocognition and behaviour. However, a clear understanding of underlying mechanisms is scant and mainly grounded in animal work. This proposal aims at major contributions towards overcoming these limitations. The core hypothesis is that gut bacteria are key in shaping neural plasticity, and in this way, influence human memory abilities. Changes in gut microbial signalling may contribute to altered neurocognition in individuals who are genetically predisposed to Alzheimer’s disease.",cognitive neuroscience,Precision Medicine and Therapeutics for Gut Microbiome Disorders
"Lassie: The first-ever painless breath analyser for people with diabetes, a breakthrough in blood glucose monitoring","Today, dogs are used to detect high and low blood glucose, cancers and are tested for coronavirus.The new Lassie breath analyser BOYDSense will put the power of a dogs nose into peoples hands and give them access to gentle health monitoring.Lassie starts with diabetes as it is an immense burden for 40 million people in Europe. Current glucose monitoring technologies are underused because they are highly invasive, expensive, stigmatising and generate a lot of waste.Lassie will transform this situation by making measurements painless, simple, discreet and cost-effective without any consumables.",domestic animals,Diabetes Monitoring and Hormonal Regulation Methods
Janus Graphene supported Single atom catalysts for ultrasensitive cytokine point of care sensors,"Cytokines, such as TNF-α, hold immense significance as protein biomarkers, pivotal for diagnostic, prognostic, and therapeutic management across various clinical disorders like Alzheimer’s disease, sepsis, and cancer. Nonetheless, prevailing techniques like enzyme-linked immunosorbent assay (ELISA) and Polymerase Chain Reaction (PCR) prove to be expensive, time-intensive, and reliant on specialized personnel, intricate instrumentation, and infrastructure. Furthermore, the performance of present biosensing techniques necessitates refinements in terms of real-time outcomes, sensitivity, affordability, and user-friendliness.",alzheimer,Multimodal Cancer Imaging and Diagnostics Technologies
Phytoplankton photosynthesis and physiology under P limitation within a context of diversity,"Aquatic ecosystems offer a wide range of ecosystem services (e.g., climate regulation, carbon sequestration, water treatment, and fisheries). In these ecosystems, Nitrogen (N) and Phosphorus (P) cycles have been modified, leading to an increase in nutrient concentration and changes in the stoichiometry of the element. In marine systems, dissolved N and P are, on average, present in an overall stoichiometry balance called the Redfield ratio (N:P=16). The skewness of stoichiometry is exacerbated by a general effort of countries to reverse eutrophication by reducing only P using water treatment plants.",fisheries,Molecular and Ecological Plant Adaptation
Large-scale and wide-band brain dynamics mediating memory consolidation in the freely moving rat,"Dementia is a major healthcare challenge worldwide due to its high incidence and its strong impact on the life quality of patients and on society as a whole. Development of treatments for the mitigation of memory impairment in patients with dementia has proven very challenging, partly due to our limited understanding of the underlying mechanisms of memory consolidation. Memory consolidation is mediated by communication between large-scale networks in the brain, particularly the hippocampal formation and neocortical circuits, coordinated by synchronous oscillatory dynamics, as shown in both humans and animal models during the resting state.",neurobiology,Neuromodulation and Neurotechnology Therapies
Sex determination genes as a toolbox for F1 hybrid seed  production and yield increase,"The food security on the planet is still a challenge. Experts predict that we will need to double food production in order to feed a population projected to reach 9,2 billion by 2050. Crop improvement should not only focus on species such as maize, wheat and soybean. Many other crops contribute to food security. The Cucurbitaceae family is positioned in front list of plant families for the number of species used as human food and for cultural, medicinal, and botanical significance.",planets,Molecular and Ecological Plant Adaptation
Revolutionizing diabetes management by combining in silico models and AI control for vagus neuroprostheses,"Diabetes is a major world health problem, approaching epidemic proportions and causing long term health damages due to inappropriate blood glucose regulation. Pharmacological therapies are limited by numerous side effects (as renal insufficiency or heart failure) and dose management issues. Their efficacy is also hindered by often problematic, patients’ compliance. This results in an unmet need for automatized, closed-loop glucose metabolism regulation, adaptable to variable patients’ conditions. Vagus nerve (VN) is a major component of the autonomous nervous system innervating internal organs, and its electrical stimulation showed preliminary results in modulating glucose metabolism.",diabetes,Diabetes Monitoring and Hormonal Regulation Methods
Vesicular mechanisms of carbon fixation in calcifying cells of marine animals,"The process of biomineralization has profound impacts on the geology of our planet and is an integral part of the global carbon cycle by generating large amounts of CaCO3 bound in coral reefs, chalk mountains and deep sea sediments. Mounting evidence demonstrate that many marine calcifiers generate biominerals by the intracellular formation of CaCO3 from seawater Ca2+ and metabolic CO2. To date, the underlying mechanisms that control the carbonate chemistry in calcifying vesicles are unknown which however will provide ground-breaking insights into a biological process that is capable of transforming a metabolic waste product - CO2 - into a versatile construction material.",inorganic compounds,Molecular and Ecological Plant Adaptation
Social Prescribing to promote and improve access to health and care services for people in vulnerable situations in Europe,Social Prescribing (SP) is an innovative solution to bridging the gap between primary health care and non-clinical supports and services within the community. SP enables general practitioners who identify health-related social problems to refer patients to a so-called link worker. The link worker provides personalized support and helps these patients to access community resources by addressing any barriers that may exist. SP is an approach to integrate health and social care and strengthen community orientation. SP thereby mitigates the effects of social determinants of health on health outcomes.,health care sciences,"Digital, Social, and Policy Innovations in Health"
mRNA localization and spatial heterogeneity of translation: Deciphering the code within mRNP composition,"mRNAs are packed with RNA binding proteins (RBPs) to assemble the messenger ribonucleoprotein particles (mRNPs). Proper mRNP biogenesis, export, localization, translation, and decay are central for gene expression regulation. Each step requires specific RBPs mediating transcript interactions with the cellular machinery. So far, hundreds of RBPs have been identified begging the question of mRNP assembly diversity. While canonical RBPs are associated with all transcripts, some may be accessory, concurrent, and specific for subclasses of mRNAs. What finetunes mRNP compositions is not clear and understanding how specific mRNP compositions control mRNA fate is a major challenge for RNA biology.",proteins,Cancer Immunotherapy and Tumor Biology
Development and validation of a framework using multiple sources of real-world data to assess the benefit-risk balance of advanced therapies in inflammatory bowel disease,"Assessing the benefit-risk balance of treatment is crucial in medicine to select the most appropriate treatment for patients. This process faces major challenges, how to implement evidence in real time to guide treatment choice and how to summarize efficacy and safety outcomes to patients and clinicians, while incorporating patient preferences. Inflammatory bowel diseases (IBD) affect 3 million residents in Europe. New advanced therapies have been recently approved, but in the absence of head-to-head randomized controlled trials (RCT), data are lacking to position each drug in the therapeutic management.",artificial intelligence,Precision Medicine and Therapeutics for Gut Microbiome Disorders
Minimally invasive reliAble Glucose monitoring in Intensive Care,"""9 of 10 intensive care unit (ICU) patients get elevated glucose levels because of their critical illness. Clinical trials prove that better glucose control could save thousands of lives and millions of euros for hospitals. Surprisingly, no continuous glucose monitor (CGM) is available for ICU patients, as solutions developed for diabetics don't work in the ICU.GlucoSet has a novel, patented technology for glucose monitoring. This enables - for the first time - reliable, minimally invasive, real-time monitoring of glucose in ICU patients. 4 of 5 EU ICU physicians say our product would be """"very valuable"""" in their ICU and believe it will improve outcomes in their ICU.",critical care medicine,Diabetes Monitoring and Hormonal Regulation Methods
Targeting Acute Leukemia with TdT-TCR-T-cell therapy,"The aim of this PoC project is to commercialize new therapy for acute lymphoblastic leukemia (ALL) developed in context of my ERC consolidator grant. T-cell receptors (TCRs) have in recent years emerged as promising therapeutic molecules in cell- and gene-therapy of cancer. I have completed the pre-clinical validation of a TCR that recognizes an HLA-bound peptide from a novel target, the nuclear enzyme terminal deoxynucleotidyl transferase (TdT-TCR). In vitro and in vivo data from four different mouse models show eradication of ALL and no indications of toxicity.",stem cells,Cancer Immunotherapy and Tumor Biology
Endothelial metabolism dictates the bone marrow niche and the plaque microenvironment,"Inflammation is an important driver of atherosclerosis, the primary cause of global morbidity and mortality in emerging and developed countries. New strategies to reduce atherosclerotic cardiovascular disease (CVD) risk are therefore eagerly needed. I recently found that atherogenic inflammatory stimuli rewire cellular metabolism in endothelial cells (ECs) and thereby contribute to atherosclerosis progression. Defining the intricate link between EC inflammation, metabolic rewiring and functional consequences for the vasculature will open new avenues for therapeutic strategies in CVD. My recent work shows that CVD-associated metabolic changes in ECs can affect their secretome.",mortality,Bone Bioprinting and Regenerative Implant Technologies
Serotoninergic Regulation of Body Axis Morphology,"Idiopatic scoliosis (IS) is a human pathology that affects 1-4% of adolescents worldwide, who suffer from spine deformities for which an effective treatment is not currently available. At present, evidence for genetic causes of IS exist, but the aetiology of this pathology is still not understood. The zebrafish is a powerful organism to model human pathologies that entail body axis misalignment as, by swimming in a viscous liquid, its spine is subject to forces similar to the ones acting on the spine in bipedal position. One essential player in the establishment of embryonic zebrafish longitudinal axis is the Reissner Fibre (RF).",proteins,Cancer Immunotherapy and Tumor Biology
Disruption of Mucin Glycosylation and Mucus Barrier Function in Response to a Western-Style Diet,"In the healthy intestines, mucus acts as a barrier that separates the host epithelium from the microbiota and intestinal contents, as well as a habitat for commensal microbes. The major component of intestinal mucus, MUC2, is heavily O-glycosylated. Mucin O-glycans are critical for mucus barrier function and host-microbe interactions. Alterations to mucin glycosylation have been associated with diseases such as inflammatory bowel disease and cancer, and represent a novel target for therapeutic intervention.",fibers,Precision Medicine and Therapeutics for Gut Microbiome Disorders
Improving Kidney Health by Targeting  Urinary Biomarkers for Tubular Function,"Chronic kidney disease (CKD) affects one in ten people worldwide and is often progressive. Progressive CKD not only causes kidney failure, but also premature aging, cardiovascular disease, and loss of quality of life. Currently, progressive CKD can only be diagnosed after irreversible damage to the kidney has already occurred. There is therefore an urgent need for earlier biomarkers. The kidney consists of filters and tubules, but diagnosis of progressive CKD is currently based on filter function alone. This is surprising, as it is tubular injury that drives CKD progression, and it is the tubule that is targeted by recently developed kidney-protective treatments.",cell biology,Chronic Kidney Disease and Organoids
New Micro-extrusion Advanced Technology for plant-based whole-cut meat substitutes,"Due to the current overpopulation, climate change and aggressive animal farming problems, there is an urgent need for the next generation of alternative proteins meat. Based on tissue engineering, food science and 3D printing, NOVAMEAT has developed a micro-extrusion process that can bio-hack the native 3D network structure of molecules of plant origin creating the microstructure and anisotropic morphology like that of traditional animal meat in a cost-efficient and highly scalable manner. NOVAMEAT´s advanced and unique technology.",tissue engineering,Sustainable Food Systems and Nutritional Innovations
Identification of long-term therapeutic strategy in IgE-mediated allergy by leveraging humanized models and patient samples,"IgE is a key driver of allergic diseases, which affect approximately one-third of the world’s population. Monoclonal antibodies (mAbs) targeting IgE are approved for the treatment of allergic asthma, and show clinical benefit in a number of other allergic diseases. Yet, a sizable portion of patients do not respond to the drug despite high levels of IgE. There is a clear need to better define which allergy features depend (or not) on IgE, and to find predictive biomarkers in order to identify patients who will benefit from anti-IgE therapy. In addition, use of anti-IgE mAbs is limited by very high cost and the need to perform frequent reinfusion to maintain clinical efficiency.",asthma,"Innovative Vaccines, Antivirals, and Diagnostics Tools"
ENgineered CArtilage from Nose for the Treatment of Osteoarthritis (ENCANTO),"Knee osteoarthritis (OA) is one of the most common causes of pain and disability, affecting over 500 million people worldwide. The tremendous socio-economic burden caused by OA is expected to further increase due to rising life expectancy and obesity. Current therapeutic approaches are limited to pain management or knee arthroplasty, but no disease-modifying or regenerative treatment is available.ENCANTO will address this major unmet clinical need by clinically introducing a combined ATMP for the biological reconstruction of the degenerated joint facet in patellofemoral OA (PFOA).",surgery,Bone Bioprinting and Regenerative Implant Technologies
Unobtrusive Continuous Multi-Metabolite Monitoring for a Physiological Care of Insulin-treated Diabetes,"It will be a radically new approach for long-term continuous monitoring of insulin-treated persons with diabetes (ITD) moving from a glucose-only to a multi-metabolite monitoring - glucose, lactate and 3 ß OH-butyrate– paradigm. Multi-metabolite monitoring will also lead to a diabetes therapy breakthrough by algorithmically driving a continuous physiologic insulin delivery by a maintenance-free implanted MEMS pump using the peritoneal route enabling an optimal therapy for subjects with ITD.Our vision is a fully implantable artificial organ to replace insulin secretion loss by targeting metabolic health instead of mere glucose control and mimicking physiological insulin action.",mortality,Diabetes Monitoring and Hormonal Regulation Methods
"Diabetes, obesity and the Kidney","Chronic kidney disease is a major cause of morbidity and mortality in the EU. About 10-15% of the EU population has chronic kidney disease (CKD) and this number is expected to increase in the future decades.   Diabetes is today the main cause of CKD in the EU: about, 30% of the cases with dialysis treatment in the EU have diabetes. Also, we are facing a pandemic of overweight and obesity in the EU. Overweight and obesity are increasing at a rapid rate in most of the EU Member States, with estimates indicating that of 52.7 % of the adult (aged 18 and over) EU’s population had overweight.    Of relevance, obese patients with metabolic syndrome are at risk for developing renal disease.",mortality,Chronic Kidney Disease and Organoids
Targeting ER Import And Activation Of Viral Glycoproteins: Towards Broad-Spectrum Antivirals,"The VIGILANT consortium is dedicated to tackling the global threat posed by emerging viruses, exemplified by the COVID-19 pandemic and the Ebola epidemic in Western Africa. These events have emphasized the profound impact of such viruses on human health and economic stability. Moreover, anthropogenic factors, notably climate change, will result in an increase in the frequency of outbreaks caused by these viruses in the future. To address this vulnerability, the VIGILANT consortium pursues the development of antivirals with broad-spectrum activity.",virology,"Innovative Vaccines, Antivirals, and Diagnostics Tools"
Detoxifying alcohol in the wild- Investigating convergent evolution among butterflies feeding on fermenting fruits,"Key innovations allow organisms to exploit novel resources fuelling rapid diversification. Fermenting fruits have higher nutritional value, for example, than nectar, and their consumption provides higher fitness benefits. However, the high alcohol concentration in fermenting fruits reaching up to 8% can be detrimental, making them a challenging resource. Nevertheless, diverse animals feed and breed on fermenting fruits using the alcohol detoxification system, yet little is known about how this convergent phenotype evolved.",genetics,Molecular and Ecological Plant Adaptation
Urban biography of a cosmopolitan African capital,"The project aims at writing an urban biography of Tungul (Old Dongola, Sudan). The use of the native Nubian designation of the city underscores its medieval African heritage, while the “biographical” approach aids in conceptualizing the city as a complex, living organism. Tungul was originally the capital of the kingdom of Makuria which transformed into a city-state under the patronage of Funj sultans (16th–19th cent.). Makuria was a medieval African kingdom that thrived in the Middle Nile Valley from the end of the 4th cent. to the late 15th cent. CE.",geochemistry,"Digital, Social, and Policy Innovations in Health"
Pulsed Laser Light and Nano-encapsulated Ocular Dyes for Advanced Therapies in the Eye,"Ocular diseases affect the quality of life of millions of patients. Despite improvements in pharmacological treatments, the arsenal of medications to treat severe ocular diseases today remains rather restricted to traditional drugs. Use of most modern biotherapeutics like proteins and nucleic acids, could be a major step forward. However, current ways of administration such as eye drops and intravitreal injections, are no longer sufficient to deliver these drugs to most targets in the eye. Therefore, novel concepts allowing biotherapeutics to safely overcome ocular barriers are of high interest.",nucleic acids,Retinal and Ocular Disease Mechanisms and Therapies
Deep Brain Neuromodulation using Temporal Interference Magnetic Stimulation,"Five out of ten diseases leading to long term-disability are related to the brain, including stroke, depression or dementia. Despite tremendous progress in neurotechnology, there is still no effective treatment option available for many brain-related disorders. A very promising approach to treat brain disorders uses transcranial electric or magnetic stimulation (TES/TMS) to directly influence brain activity related to specific symptoms. However, these methods are limited in their spatial resolution, specificity and ability to reach deep brain areas.",neurobiology,Neuromodulation and Neurotechnology Therapies
The first IVDR-approved commercial software solutions for AI-powered RNA-based companion and precision cancer diagnostics of acute myeloid leukaemia and bladder cancer,"Qlucore is developing visualisation-based analytical solutions with an established position in the next-generation sequencing (NGS) market. As pioneers in RNA-data analysis, we aim to revolutionise the field of companion and clinical diagnostics by developing software platforms integrating AI-powered machine-learning classification models for gene expression signatures and gene fusion analysis.By providing highly accurate and specific diagnoses, our platform represents the future of precision oncology, putting Europe at the forefront of AI-powered cancer classification.",genetics,Multimodal Cancer Imaging and Diagnostics Technologies
Pannexin 1 – a novel target for pediatric orphan epilepsy,"Epilepsy is a group of syndromes with high unmet medical need, especially in children as frequent seizures affect the immature brain and its development. In some orphan syndromes, drug resistance is 70% with dramatic consequences for patients and their families. Novel treatments must prevent the negative effects of seizures, but also minimize off-target effects on brain development and cognitive functions. Our solution is the specific blockade of the activated form of the Pannexin 1 (Panx1) channel using a reformulated form of probenecid: PTI5803. This compound, a first-in-class drug, inhibits seizures preclinically in >80% of cases without hampering cognitive functions.",epilepsy,Neuromodulation and Neurotechnology Therapies
PeRsonalised treatmEnts and pain manaGEmeNt for rEpaiR of Aged bone Tissue wIth quantum mOlecular resoNance,"REGENERATION aims to (i) build a multidisciplinary research network involving experts of technical and medical disciplines to merge their expertise and exploit possible synergies for the development of reliable and sustainable in vitro cell models of healthy and aged bone tissue treated with or without QMR (Quantum Molecular Resonance) and (ii) train a cohort of scientists and technologists in exploiting the model features to increase knowledge on the effects of aging on bone biology and mechanobiology, and on bone response to QMR, to leverage the use of  cell models in clinics and basic/industrial research labs.",pathology,Bone Bioprinting and Regenerative Implant Technologies
